          tag          | shared_count | total_count 
-----------------------+--------------+-------------
 #coronavirus          |           15 |          15
 #covid19              |            5 |          60
 #argentina            |            3 |           7
 #lockdown             |            2 |          16
 #wearamask            |            2 |           4
 #2021makeawish        |            1 |           9
 #auguri2021           |            1 |           1
 #buonanno2021         |            1 |           2
 #cov                  |            1 |           1
 #covid_19             |            1 |          10
 #covid19italia        |            1 |           1
 #cuidémonosentretodos |            1 |           1
 #distancelearning     |            1 |           1
 #fernandosimón        |            1 |           1
 #florida              |            1 |          10
 #goodbye2020          |            1 |          23
 #hello2021            |            1 |          34
 #ignaciocamacho       |            1 |           1
 #lockdownitalia       |            1 |           1
 #outbreak             |            1 |           1
 #pandemic             |            1 |           2
 #plancoronavirus      |            1 |           1
 #quarantine           |            1 |           2
 #socialdistanacing    |            1 |           1
 #stayhome             |            1 |           3
 #temaestinzione       |            1 |           1
 #vaccinare24h         |            1 |           1
 #vaccinazioni         |            1 |           1
 #vaccincovid          |            1 |           2
 #vaccine              |            1 |           6
 #vaccino              |            1 |           1
(31 rows)

